epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,0.4358051592429479,85.96833333333333,0.06483491913601756,97.9
1,0.12761825979550678,96.07666666666667,0.024369554189406336,99.21
2,0.10182117988665898,97.07833333333333,0.025659185392409564,99.09
3,0.08902903975844383,97.32333333333334,0.02604841104684165,99.18
4,0.08245306328932445,97.565,0.018409571338241223,99.43
5,0.07694867381254832,97.78333333333333,0.019197468789259438,99.38
6,0.06836710634380579,98.015,0.027968499151198194,99.06
7,0.06750748452742894,98.00166666666667,0.017771632279007462,99.46
8,0.06581392327944438,98.015,0.02499594262543833,99.19
9,0.06431408067544302,98.11333333333333,0.01765731787918485,99.47
10,0.06068477101524671,98.22166666666666,0.01797354240229979,99.48
11,0.058972567399342854,98.30666666666667,0.016929930322268045,99.52
12,0.0591875871181488,98.305,0.01762137926341384,99.51
13,0.059912937674919765,98.33333333333333,0.0254257334980648,99.25
14,0.054881447741389276,98.39833333333333,0.020670179382094648,99.36
15,0.05893056414524714,98.325,0.01996207630254794,99.42
16,0.05505668116907279,98.40166666666667,0.019384533814454336,99.44
17,0.057837936669588086,98.28166666666667,0.02662504994896008,99.19
18,0.05340966780781746,98.45333333333333,0.023201489866012708,99.32
19,0.05669264211257299,98.35166666666667,0.02307798579475202,99.29
20,0.05860064657131831,98.36666666666666,0.015489549820963294,99.48
21,0.053684512936075526,98.495,0.021737896511086728,99.38
22,0.04969300738821427,98.56833333333333,0.022331448140111752,99.37
23,0.05246712156534195,98.46,0.019561203338489576,99.53
24,0.05121054514845212,98.50333333333333,0.01992200537281951,99.38
25,0.05134588676293691,98.465,0.020029346252981486,99.46
26,0.05356487804949284,98.46333333333334,0.02658573785867993,99.27
27,0.04887784004708131,98.57,0.01973857641171344,99.48
28,0.05157927655378977,98.54833333333333,0.019545975793842648,99.48
29,0.05521337126245101,98.43333333333334,0.01691650831690349,99.52
30,0.04831624106913805,98.595,0.016975191843765787,99.49
31,0.047924672891696295,98.655,0.024385194020334528,99.33
32,0.04460925527811051,98.77166666666666,0.02482042665543413,99.3
33,0.04944426846802235,98.57,0.022552260817823116,99.33
34,0.04501622076233228,98.74333333333334,0.01963323651894898,99.49
35,0.047578287101040284,98.67166666666667,0.019439577026607004,99.48
36,0.04420212100843589,98.78333333333333,0.020827948300901334,99.43
37,0.05042264123558998,98.58333333333333,0.018987178996979492,99.42
38,0.050752847272654375,98.55333333333333,0.01946179325842386,99.39
39,0.04450973893006643,98.72,0.0195521480449941,99.4
40,0.045450859791537124,98.70833333333333,0.022051269217653317,99.31
41,0.045947765009819216,98.65666666666667,0.02450337679007207,99.36
42,0.045900814667344095,98.72666666666667,0.019933990603784334,99.41
43,0.046108091059078773,98.68166666666667,0.021725106136733667,99.48
44,0.04259285261034965,98.815,0.02192448266996653,99.38
45,0.04359141137401263,98.725,0.026852511001564563,99.27
46,0.045165785692383845,98.70333333333333,0.022363318292376425,99.42
47,0.04822580149024725,98.625,0.018890719604009065,99.46
48,0.04311004859407743,98.75333333333333,0.02414771273076003,99.38
49,0.04221387625982364,98.78333333333333,0.020446584521390105,99.47
50,0.04509111609756947,98.72333333333333,0.021775636821426452,99.34
51,0.04522908802231153,98.74666666666667,0.022802129180449993,99.37
52,0.04284149315555891,98.765,0.02225336938686014,99.39
53,0.040933057411449654,98.8,0.01726227279330997,99.54
54,0.04374544035096963,98.70833333333333,0.020276856811865446,99.52
55,0.04222946037451426,98.795,0.01787838156102116,99.59
56,0.04345966432591279,98.75666666666666,0.021393112937652024,99.42
57,0.04588008746802807,98.69,0.021303216372933823,99.46
58,0.04090119057794412,98.86,0.02252695071203516,99.38
59,0.04145026089946429,98.78333333333333,0.022451489775862137,99.38
60,0.042867570863539976,98.79833333333333,0.01919168438624838,99.46
61,0.04220825359970331,98.81833333333333,0.018019020659446324,99.51
62,0.04110079436004162,98.835,0.016478433617098925,99.46
63,0.042186234029134115,98.80166666666666,0.02141219958217989,99.44
64,0.040713805881142616,98.89833333333333,0.02215173958223895,99.43
65,0.03810885106325149,98.89166666666667,0.020318655337454403,99.4
66,0.04174329709211985,98.84333333333333,0.023048275788156207,99.43
67,0.03939924655407667,98.9,0.02518490197393112,99.33
